A0,A10,A20,A30,A40,A50,A60,A70,A80,A90,A100,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,round
101.98,102.81,103.29,103.57,103.83,104.15,104.36,104.89,105.54,106.19,107.54,59.75,86.04,93.2,99.59,100.63,101.06,101.28,101.5,101.76,102.16,103.92,810
101.98,102.81,103.29,103.57,103.83,104.15,104.36,104.89,105.54,106.19,107.54,59.75,86.04,93.2,99.59,100.63,101.06,101.28,101.5,101.76,102.16,103.92,820
101.98,102.81,103.29,103.57,103.83,104.15,104.41,104.89,105.54,106.19,107.54,59.75,86.72,94.61,99.68,100.68,101.07,101.28,101.53,101.76,102.16,103.92,830
101.98,102.81,103.29,103.57,103.83,104.15,104.41,104.89,105.57,106.19,107.54,59.75,86.72,94.61,100.08,100.7,101.07,101.28,101.53,101.76,102.16,103.92,840
101.98,102.81,103.29,103.57,103.85,104.16,104.41,104.89,105.57,106.19,107.54,59.75,87.37,94.61,100.08,100.7,101.07,101.28,101.53,101.76,102.16,103.92,850
101.98,102.81,103.29,103.57,103.85,104.16,104.41,104.89,105.57,106.19,107.54,59.75,87.37,94.67,100.46,100.78,101.07,101.28,101.53,101.76,102.16,103.92,860
101.98,102.81,103.29,103.57,103.85,104.16,104.41,104.89,105.57,106.19,107.54,59.75,87.37,94.67,100.46,100.78,101.07,101.28,101.55,101.85,102.18,103.92,870
101.98,102.81,103.29,103.57,103.91,104.17,104.41,104.89,105.57,106.19,107.54,59.75,87.37,94.67,100.46,100.78,101.07,101.28,101.55,101.86,102.19,103.92,880
101.98,102.81,103.29,103.57,104.0,104.2,104.52,104.92,105.57,106.19,113.14,59.75,87.74,94.94,100.51,100.83,101.09,101.3,101.58,101.91,102.19,103.92,890
101.98,102.81,103.29,103.58,104.03,104.24,104.53,104.93,105.59,106.26,113.14,59.75,87.74,94.94,100.51,100.83,101.09,101.3,101.58,101.91,102.19,103.92,900
101.98,102.81,103.29,103.66,104.03,104.24,104.55,104.93,105.59,106.26,113.14,59.75,87.74,94.94,100.51,100.83,101.09,101.3,101.58,101.91,102.19,103.92,910
101.98,102.81,103.37,103.66,104.03,104.26,104.66,105.01,105.69,106.29,113.14,59.75,87.74,94.94,100.51,100.83,101.09,101.34,101.63,101.91,102.19,103.92,920
101.98,102.81,103.37,103.66,104.06,104.27,104.66,105.11,105.69,106.29,113.14,59.75,87.74,94.94,100.51,100.83,101.09,101.34,101.63,101.91,102.19,103.92,930
101.98,102.81,103.37,103.66,104.06,104.27,104.66,105.11,105.69,106.29,113.14,59.75,87.74,96.59,100.52,100.88,101.1,101.36,101.64,101.91,102.23,103.92,940
101.98,102.81,103.37,103.66,104.08,104.27,104.66,105.11,105.69,106.29,113.14,59.75,87.74,96.59,100.53,100.9,101.13,101.36,101.64,101.91,102.23,103.92,950
101.98,102.81,103.37,103.66,104.1,104.29,104.66,105.11,105.7,106.34,113.14,59.75,87.74,96.59,100.62,100.91,101.19,101.43,101.69,101.92,102.23,103.92,960
101.98,102.81,103.37,103.66,104.1,104.29,104.66,105.11,105.7,106.34,113.14,59.75,87.74,96.59,100.62,100.91,101.19,101.43,101.69,101.92,102.23,103.92,970
101.98,102.91,103.37,103.69,104.11,104.29,104.66,105.11,105.7,106.34,113.14,59.75,88.75,96.79,100.62,100.91,101.19,101.43,101.69,101.92,102.23,103.92,980
